Emissao_CO2,Classificacao_Emissao,Consumo,Classificacao_consumo,Tipo_edificio,Estado_edificio,Ano_construcao,Superficie_m2,Municipio,Provincia,Classificacao
106.06,G,403.67,G,Vivienda individual,Existente,1973,90,HUESCA,HUESCA,GG
52.36,E,200.12,E,Vivienda individual,Existente,1980,105,HUESCA,HUESCA,EE
48.93,E,232.83,E,Vivienda individual,Existente,1920,69,HUESCA,HUESCA,EE
52.84,E,250.54,E,Vivienda individual,Existente,1970,63,HUESCA,HUESCA,EE
39.61,E,189.11,E,Vivienda individual,Existente,1994,85.88,HUESCA,HUESCA,EE
75.59,G,358.24,G,Vivienda individual,Existente,1968,67.39,HUESCA,HUESCA,GG
49.59,E,236.17,E,Vivienda individual,Existente,1900,48,HUESCA,HUESCA,EE
61.1,E,288.88,F,Vivienda individual,Existente,1960,48,HUESCA,HUESCA,EF
60.45,C,356.88,D,Local,Existente,1987,638.9,HUESCA,HUESCA,CD
52.38,E,248.57,E,Vivienda individual,Existente,1992,82,HUESCA,HUESCA,EE
77.96,E,437.04,F,Edificio completo,Existente,1915,543,HUESCA,HUESCA,EF
65.9,F,311.37,F,Vivienda individual,Existente,1980,67,HUESCA,HUESCA,FF
37.95,C,186.08,C,Edificio completo,Existente,2002,3603,HUESCA,HUESCA,CC
72.71,E,345,E,Unifamiliar,Existente,2005,163.36,HUESCA,HUESCA,EE
42.47,E,201.14,E,Vivienda individual,Existente,1975,85.8,HUESCA,HUESCA,EE
41.27,E,195.29,E,Vivienda individual,Existente,1976,112,HUESCA,HUESCA,EE
23.35,E,111.45,E,Local,Existente,2010,81,HUESCA,HUESCA,EE
15.25,B,90.04,C,Unifamiliar,Existente,1948,85,HUESCA,HUESCA,BC
34.59,E,164.84,E,Vivienda individual,Existente,1971,75.7,HUESCA,HUESCA,EE
21.49,D,102.07,D,Vivienda individual,Existente,1991,64,HUESCA,HUESCA,DD
19.44,C,94.16,D,Vivienda individual,Existente,2007,61.2,HUESCA,HUESCA,CD
33.16,E,195.76,E,Vivienda individual,Existente,1995,71,HUESCA,HUESCA,EE
44.5,E,245.68,E,Vivienda individual,Existente,1963,56,HUESCA,HUESCA,EE
70.39,F,348.03,G,Bloque completo,Existente,1974,1025.7,HUESCA,HUESCA,FG
70.39,F,348.03,G,Bloque completo,Existente,1974,1025.7,HUESCA,HUESCA,FG
70.39,F,348.03,G,Bloque completo,Existente,1974,1025.7,HUESCA,HUESCA,FG
70.39,F,348.03,G,Bloque completo,Existente,1974,1025.7,HUESCA,HUESCA,FG
70.39,F,348.03,G,Bloque completo,Existente,1974,1025.7,HUESCA,HUESCA,FG
70.39,F,348.03,G,Bloque completo,Existente,1974,1025.7,HUESCA,HUESCA,FG
48.1,E,228.89,E,Vivienda individual,Existente,2004,51,HUESCA,HUESCA,EE
30.08,D,143.52,E,Vivienda individual,Existente,1973,77.76,HUESCA,HUESCA,DE
30.64,D,146.65,E,Vivienda individual,Existente,2007,115.69,HUESCA,HUESCA,DE
46.15,E,175.35,E,Vivienda individual,Existente,1970,102,HUESCA,HUESCA,EE
31.74,E,150.72,E,Vivienda individual,Existente,1985,107,HUESCA,HUESCA,EE
39.76,E,191.26,E,Vivienda individual,Existente,1991,85.5,HUESCA,HUESCA,EE
52.15,E,247.96,E,Vivienda individual,Existente,1957,55.5,HUESCA,HUESCA,EE
65.41,F,309.84,F,Vivienda individual,Existente,1981,91,HUESCA,HUESCA,FF
31.82,E,152.34,E,Vivienda individual,Existente,1970,79,HUESCA,HUESCA,EE
30.12,D,143.43,E,Vivienda individual,Existente,1974,68,HUESCA,HUESCA,DE
26.62,D,126.73,D,Vivienda individual,Existente,2008,79.9,HUESCA,HUESCA,DD
57.84,E,295.46,F,Vivienda individual,Existente,1956,45.9,HUESCA,HUESCA,EF
22.91,D,110.55,D,Vivienda individual,Existente,1977,107.1,HUESCA,HUESCA,DD
21.59,D,104.47,D,Vivienda individual,Existente,1988,72,HUESCA,HUESCA,DD
37.6,G,221.97,G,Local,Existente,1946,85,HUESCA,HUESCA,GG
44.74,E,212.21,E,Vivienda individual,Existente,1991,51,HUESCA,HUESCA,EE
38.78,D,225.72,D,Local,Existente,1969,92,HUESCA,HUESCA,DD
20.12,D,95.69,D,Vivienda individual,Existente,2011,75,HUESCA,HUESCA,DD
39.41,E,206.8,E,Vivienda individual,Existente,1888,50,HUESCA,HUESCA,EE
71.04,F,419.39,G,Vivienda individual,Existente,1963,60.65,HUESCA,HUESCA,FG
37.47,E,178.28,E,Vivienda individual,Existente,2008,46.17,HUESCA,HUESCA,EE
62.17,E,294.5,F,Vivienda individual,Existente,2001,74.97,HUESCA,HUESCA,EF
81.49,G,415.98,G,Bloque completo,Existente,1968,440,HUESCA,HUESCA,GG
81.49,G,415.98,G,Bloque completo,Existente,1968,440,HUESCA,HUESCA,GG
81.49,G,415.98,G,Bloque completo,Existente,1968,440,HUESCA,HUESCA,GG
61.17,E,304.97,F,Bloque completo,Existente,1969,938.02,HUESCA,HUESCA,EF
61.17,E,304.97,F,Bloque completo,Existente,1969,938.02,HUESCA,HUESCA,EF
61.17,E,304.97,F,Bloque completo,Existente,1969,938.02,HUESCA,HUESCA,EF
61.17,E,304.97,F,Bloque completo,Existente,1969,938.02,HUESCA,HUESCA,EF
